"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","Choco","Colombia","2021-01-07 05:22:03",5.2528,-76.826,4978,169,4691,118,"Choco, Colombia",930.770007441673,3.39493772599438
NA,"","Cordoba","Colombia","2021-01-07 05:22:03",8.0493,-75.574,29898,1682,27677,539,"Cordoba, Colombia",1675.16163029343,5.62579436751622
NA,"","Cundinamarca","Colombia","2021-01-07 05:22:03",5.026,-74.03,70712,1773,64572,4367,"Cundinamarca, Colombia",2422.42365693066,2.50735377305125
NA,"","Guainia","Colombia","2021-01-07 05:22:03",2.5854,-68.5247,1236,20,1207,9,"Guainia, Colombia",2568.89886519516,1.61812297734628
NA,"","Guaviare","Colombia","2021-01-07 05:22:03",1.0654,-73.2603,1987,37,1916,34,"Guaviare, Colombia",2400.71526091317,1.86210367388022
NA,"","Huila","Colombia","2021-01-07 05:22:03",2.5359,-75.5277,36178,1154,33664,1360,"Huila, Colombia",3287.75538765488,3.18978384653657
NA,"","La Guajira","Colombia","2021-01-07 05:22:03",11.3548,-72.5205,14372,548,13323,501,"La Guajira, Colombia",1632.1431816117,3.81296966323407
NA,"","Magdalena","Colombia","2021-01-07 05:22:03",10.4113,-74.4057,25515,1092,23359,1064,"Magdalena, Colombia",1901.62668642202,4.2798353909465
NA,"","Meta","Colombia","2021-01-07 05:22:03",3.272,-73.0877,35127,759,32946,1422,"Meta, Colombia",3378.49925268485,2.16073106157656
NA,"","Narino","Colombia","2021-01-07 05:22:03",1.2892,-77.3579,34199,1027,30038,3134,"Narino, Colombia",2097.33642750608,3.00301178397029
NA,"","Norte de Santander","Colombia","2021-01-07 05:22:03",7.9463,-72.8988,41990,2123,38020,1847,"Norte de Santander, Colombia",2814.92992171961,5.0559657061205
NA,"","Putumayo","Colombia","2021-01-07 05:22:03",0.436,-75.5277,6076,248,5520,308,"Putumayo, Colombia",1745.06436289067,4.08163265306122
NA,"","Quindio","Colombia","2021-01-07 05:22:03",4.461,-75.6674,24921,680,22690,1551,"Quindio, Colombia",4615.82059032717,2.72862244693231
NA,"","Risaralda","Colombia","2021-01-07 05:22:03",5.3158,-75.9928,36194,808,32830,2556,"Risaralda, Colombia",3836.54458708439,2.23241421230038
NA,"","San Andres y Providencia","Colombia","2021-01-07 05:22:03",12.5567,-81.7185,2490,40,2408,42,"San Andres y Providencia, Colombia",4063.31592689295,1.60642570281124
NA,"","Santander","Colombia","2021-01-07 05:22:03",6.6437,-73.6536,69936,2468,63213,4255,"Santander, Colombia",3200.97105642206,3.52894074582475
NA,"","Sucre","Colombia","2021-01-07 05:22:03",8.814,-74.7233,17691,684,16521,486,"Sucre, Colombia",1955.10259564155,3.86637273189758
NA,"","Tolima","Colombia","2021-01-07 05:22:03",4.0925,-75.1545,47068,1333,42903,2832,"Tolima, Colombia",3538.44985705017,2.83207274581457
NA,"","Unknown","Colombia","2021-01-07 05:22:03",NA,NA,0,0,0,0,"Unknown, Colombia",NA,NA
NA,"","Valle del Cauca","Colombia","2021-01-07 05:22:03",3.8009,-76.6413,142758,4439,131964,6355,"Valle del Cauca, Colombia",3189.49142136328,3.1094579638269
NA,"","Vaupes","Colombia","2021-01-07 05:22:03",0.8554,-70.812,1141,13,1124,4,"Vaupes, Colombia",2796.77427261808,1.13935144609991
NA,"","Vichada","Colombia","2021-01-07 05:22:03",4.4234,-69.2878,1160,14,1133,13,"Vichada, Colombia",1075.98693974473,1.20689655172414
NA,"","","Costa Rica","2021-01-07 05:22:03",9.7489,-83.7534,175038,2267,134911,37860,"Costa Rica",3436.08329142222,1.29514733943487
NA,"","","Cuba","2021-01-07 05:22:03",21.521757,-77.781167,13165,148,11248,1769,"Cuba",116.230655298988,1.12419293581466
NA,"","","Dominican Republic","2021-01-07 05:22:03",18.7357,-70.1627,176378,2419,134932,39027,"Dominican Republic",1625.91778098331,1.37148623978047
NA,"","","Ecuador","2021-01-07 05:22:03",-1.8312,-78.1834,217377,14146,190350,12881,"Ecuador",1232.08218982421,6.50758819930351
NA,"","","El Salvador","2021-01-07 05:22:03",13.7942,-88.8965,47355,1382,42225,3748,"El Salvador",730.088383014957,2.91838243057755
NA,"","","Guatemala","2021-01-07 05:22:03",15.7835,-90.2308,140202,4899,128952,6351,"Guatemala",782.570822346845,3.49424401934352
NA,"","","Guyana","2021-01-07 05:22:03",4.860416,-58.93018,6407,166,5948,293,"Guyana",814.560636900728,2.59091618542219
NA,"","","Haiti","2021-01-07 05:22:03",18.9712,-72.2852,10127,236,8672,1219,"Haiti",88.8135995747612,2.33040387084033
NA,"","","Honduras","2021-01-07 05:22:03",15.2,-86.2419,124899,3192,57348,64359,"Honduras",1261.01911352776,2.55566497730166
NA,"","","Jamaica","2021-01-07 05:22:03",18.1096,-77.2975,13330,306,11182,1842,"Jamaica",450.161271204099,2.29557389347337
NA,"","Aguascalientes","Mexico","2021-01-07 05:22:03",21.8853,-102.2916,17455,1405,0,16050,"Aguascalientes, Mexico",1216.6857772186,8.04926955027213
NA,"","Baja California","Mexico","2021-01-07 05:22:03",30.8406,-115.2838,35988,5766,0,30222,"Baja California, Mexico",990.077218760076,16.0220073357786
NA,"","Baja California Sur","Mexico","2021-01-07 05:22:03",26.0444,-111.6661,18505,793,0,17712,"Baja California Sur, Mexico",2299.59190165874,4.28532828965145
NA,"","Campeche","Mexico","2021-01-07 05:22:03",19.8301,-90.5349,7333,974,0,6359,"Campeche, Mexico",732.847832887109,13.2824219282695
NA,"","Chiapas","Mexico","2021-01-07 05:22:03",16.7569,-93.1292,8433,1219,0,7214,"Chiapas, Mexico",147.163349223531,14.4551168030357
NA,"","Chihuahua","Mexico","2021-01-07 05:22:03",28.633,-106.0691,36926,4490,0,32436,"Chihuahua, Mexico",971.356734877694,12.1594540432216
NA,"","Ciudad de Mexico","Mexico","2021-01-07 05:22:03",19.4326,-99.1332,348421,17526,0,330895,"Ciudad de Mexico, Mexico",3863.34088990087,5.03012160575855
NA,"","Coahuila","Mexico","2021-01-07 05:22:03",27.0587,-101.7068,50976,4304,0,46672,"Coahuila, Mexico",1583.73514937615,8.44318895166353
NA,"","Colima","Mexico","2021-01-07 05:22:03",19.1223,-104.0072,8115,812,0,7303,"Colima, Mexico",1033.55651701006,10.0061614294516
NA,"","Durango","Mexico","2021-01-07 05:22:03",24.5593,-104.6588,25705,1591,0,24114,"Durango, Mexico",1375.33734689641,6.18945730402645
NA,"","Guanajuato","Mexico","2021-01-07 05:22:03",21.019,-101.2574,85781,5562,0,80219,"Guanajuato, Mexico",1377.30555098404,6.48395332299693
NA,"","Guerrero","Mexico","2021-01-07 05:22:03",17.4392,-99.5451,26481,2746,0,23735,"Guerrero, Mexico",724.108625317469,10.3696990294928
NA,"","Hidalgo","Mexico","2021-01-07 05:22:03",20.0911,-98.7624,25493,3575,0,21918,"Hidalgo, Mexico",825.974739616915,14.0234574196838
NA,"","Jalisco","Mexico","2021-01-07 05:22:03",20.6595,-103.3494,54239,6326,0,47913,"Jalisco, Mexico",644.958145321119,11.6631943804274
NA,"","Mexico","Mexico","2021-01-07 05:22:03",19.4969,-99.7233,151455,19719,0,131736,"Mexico, Mexico",869.043062832407,13.0197088244033
NA,"","Michoacan","Mexico","2021-01-07 05:22:03",19.5665,-101.7068,34136,2829,0,31307,"Michoacan, Mexico",707.423072196487,8.28743848136864
NA,"","Morelos","Mexico","2021-01-07 05:22:03",18.6813,-99.1013,10501,1484,0,9017,"Morelos, Mexico",513.73297626584,14.1319874297686
NA,"","Nayarit","Mexico","2021-01-07 05:22:03",21.7514,-104.8455,8084,1065,0,7019,"Nayarit, Mexico",627.361627725597,13.1741712023751
NA,"","Nuevo Leon","Mexico","2021-01-07 05:22:03",25.5922,-99.9962,86186,5327,0,80859,"Nuevo Leon, Mexico",1536.25043737666,6.18081823033903
NA,"","Oaxaca","Mexico","2021-01-07 05:22:03",17.0732,-96.7266,28860,2166,0,26694,"Oaxaca, Mexico",696.496977381707,7.50519750519751
NA,"","Puebla","Mexico","2021-01-07 05:22:03",19.0414,-98.2063,49258,5852,0,43406,"Puebla, Mexico",745.830349865568,11.8803037070121
NA,"","Queretaro","Mexico","2021-01-07 05:22:03",20.5888,-100.3899,33920,2059,0,31861,"Queretaro, Mexico",1487.9561965348,6.07016509433962
NA,"","Quintana Roo","Mexico","2021-01-07 05:22:03",19.1817,-88.4791,16204,2065,0,14139,"Quintana Roo, Mexico",940.311351920982,12.7437669711182
NA,"","San Luis Potosi","Mexico","2021-01-07 05:22:03",22.1565,-100.9855,40823,3128,0,37695,"San Luis Potosi, Mexico",1424.31882300319,7.66234720623178
NA,"","Sinaloa","Mexico","2021-01-07 05:22:03",25.1721,-107.4795,27221,4279,0,22942,"Sinaloa, Mexico",862.331682017212,15.7194812828331
NA,"","Sonora","Mexico","2021-01-07 05:22:03",29.2972,-110.3309,53468,4296,0,49172,"Sonora, Mexico",1738.94095282698,8.03471235131294
NA,"","Tabasco","Mexico","2021-01-07 05:22:03",17.8409,-92.6189,45644,3244,0,42400,"Tabasco, Mexico",1774.45207319401,7.1071772850758
NA,"","Tamaulipas","Mexico","2021-01-07 05:22:03",24.2669,-98.8363,39975,3341,0,36634,"Tamaulipas, Mexico",1095.02487534933,8.35772357723577
NA,"","Tlaxcala","Mexico","2021-01-07 05:22:03",19.3139,-98.2404,11712,1453,0,10259,"Tlaxcala, Mexico",848.688887262493,12.4060792349727
NA,"","Unknown","Mexico","2021-01-07 05:22:03",NA,NA,0,0,1119968,-1119968,"Unknown, Mexico",NA,NA
NA,"","Veracruz","Mexico","2021-01-07 05:22:03",19.1738,-96.1342,43751,6414,0,37337,"Veracruz, Mexico",512.315070196685,14.6602363374551
NA,"","Yucatan","Mexico","2021-01-07 05:22:03",20.7099,-89.0943,27138,2363,0,24775,"Yucatan, Mexico",1201.27590746395,8.70734763062864
NA,"","Zacatecas","Mexico","2021-01-07 05:22:03",22.7709,-102.5832,21648,1814,0,19834,"Zacatecas, Mexico",1299.06758535933,8.37952697708795
NA,"","","Nicaragua","2021-01-07 05:22:03",12.865416,-85.207229,6097,166,4225,1706,"Nicaragua",92.0363846381206,2.72265048384451
NA,"","","Panama","2021-01-07 05:22:03",8.538,-80.7821,264956,4283,208620,52053,"Panama",6140.6777838345,1.61649481423331
