"cv_0","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5"
5,0,-44.75,-19.5833333333333,16.8415566535597,-10.8793527403159,9.50785326658832,15.4072541403382,-2.16168706515789
5,0,-51.25,-25.0833333333333,13.7100365426588,-6.4203335056218,7.78549487158864,15.8057528931172,-3.48040189265101
3,0,-49.5833333333333,-24.75,13.6688726068858,-7.38399256468213,8.01977620228488,15.7603735286238,-3.62593290197756
2,0,-44.4166666666667,-16.75,16.9899746657191,-11.4781769313044,9.35979948573604,15.2611905858231,-3.00447923608402
3,0,-49.25,-17.75,18.2900440835067,-11.6095150119093,8.50992404053553,15.9401525061027,-3.11537784317535
1,0,-40.4166666666667,-14.9166666666667,17.0146079116988,-9.28062840267994,4.98351835109181,15.5526449737628,-2.57814742257845
2,0,-43.25,-12.9166666666667,20.0884541573802,-13.6759441344105,7.01436902676284,17.4689578864802,-3.06983899037199
2,0,-48.25,-22.4166666666667,15.3979790847087,-9.29125391375766,8.8110213418558,15.2472065466273,-2.21745992979872
5,0,-52.75,-22.0833333333333,17.3209016424373,-10.3496618376981,7.59605801502064,17.7823381534802,-3.29328152611172
2,0,-43.0833333333333,-12.75,19.5845274329829,-13.551038690021,6.91319138642886,17.41536739315,-3.10552192030811
1,0,-42.75,-15.75,15.9215746247606,-10.9184247445329,7.78028992470487,14.0157865922154,-2.07002371912177
4,0,-51.4166666666667,-22.75,16.7306580580385,-9.96927888310879,7.85405997710062,17.6339372722693,-3.49014782242703
5,0,-42.5833333333333,-14.9166666666667,17.3226936057677,-11.1884502394771,6.87391598465227,14.2337092471665,-1.67084645994459
3,0,-50.25,-24.9166666666667,14.0504002141164,-7.36004176211781,7.66604758697774,15.9926313929155,-3.50148766847798
5,0,-44.4166666666667,-19.75,17.1265029600149,-10.8250981638525,9.71545957194466,15.2455291813947,-2.35095898584965
4,0,-54.0833333333333,-19.0833333333333,19.714899916042,-11.2057724246385,8.09236615800583,17.2069140290848,-3.47814361013054
2,0,-51.5833333333333,-27.9166666666667,13.5614137794775,-5.47586280879719,7.4682433474698,15.3277461761458,-4.84477448567404
4,0,-47.4166666666667,-16.4166666666667,17.0535466757415,-10.8661910942991,8.28124998164976,14.8046290518074,-2.53337342330938
3,0,-51.25,-24.9166666666667,14.1789625262008,-7.10054143881203,7.90247925081779,16.3774876670093,-3.97142706292981
5,0,-50.4166666666667,-28.4166666666667,12.2583172887548,-5.10130401566749,7.06877286154077,14.4565739133165,-4.18966417044617
5,0,-51.25,-16.0833333333333,20.8262748609441,-11.9867228573721,8.84010431974951,16.0811740848738,-3.19336977526841
3,0,-42.25,-9.08333333333333,20.6996873083452,-14.0722247241274,6.41956686226558,18.1894107755328,-2.83830131275834
2,0,-57.25,-21.4166666666667,17.9773695463716,-10.3393937019418,7.4245969575554,18.6491837575347,-3.98567248053024
5,0,-39.0833333333333,-7.91666666666666,18.7043587363547,-12.6394741537545,5.74945312650516,15.7201582256596,-2.81378149179959
3,0,-52.25,-26.9166666666667,13.8026194177534,-4.73085946353434,9.06253221372565,16.0409296072263,-4.90138249505117
5,0,-54.75,-22.0833333333333,17.7960030451687,-10.0023563201591,7.61978767190641,17.8190295821047,-3.93412272681012
2,0,-46.75,-22.5833333333333,14.8453192925177,-8.68143338636755,9.27396535176844,14.2321115040434,-1.89671585469154
5,0,-53.5833333333333,-19.9166666666667,18.9813425088056,-10.4356720089073,8.15898140795187,16.8531484781235,-2.70624556808774
3,0,-42.5833333333333,-20.5833333333333,15.4976585660799,-10.1450224744579,8.77907419095072,15.0729424441029,-2.82655659923815
2,0,-54.9166666666667,-22.4166666666667,17.6648113311933,-9.76631288007436,7.66365103548511,17.803432639037,-4.0368270321007
1,0,-43.25,-16.25,16.4974336208446,-11.4589971533797,7.95814252893059,14.9381954831166,-2.40432171628831
2,0,-47.5833333333333,-17.5833333333333,18.1379450638334,-11.2405916822616,8.64257564789416,15.6600630912517,-3.0833472667797
3,0,-48.5833333333333,-20.75,17.4698077069529,-10.5952970633208,8.860827812768,16.0322394850527,-2.17745680347155
4,0,-41.5833333333333,-21.25,17.9017775881494,-10.8414999132861,7.18751851792948,16.611360851991,-3.24401244906738
5,0,-42.75,-11.25,18.5305875095576,-13.2322307011648,6.79917436062458,16.7934305410905,-2.92581337751108
1,0,-48.0833333333333,-24.0833333333333,13.8477935344935,-7.96492002219909,7.78123174702761,14.9873489811166,-2.92537870582086
1,0,-52.0833333333333,-21.25,17.7021907649703,-10.7720234440465,7.83420377835152,17.4845127493429,-2.9600142963965
2,0,-41.4166666666667,-9.08333333333333,19.5639783071911,-13.6766378026892,6.01837217012893,17.4685121910276,-2.67605381318278
3,0,-51.5833333333333,-19.9166666666667,18.5810059341355,-10.6830326523371,9.04980160915246,16.9366069550578,-2.64073911279473
4,0,-45.25,-16.0833333333333,17.6795012944324,-12.8091780136274,9.24427766253258,16.5811065302292,-3.55669758653556
5,0,-53.9166666666667,-21.0833333333333,18.5756247764224,-10.1327192236676,7.74765701240815,17.2209164501222,-2.64628607411666
4,0,-53.75,-17.9166666666667,19.6067173908945,-11.6039502949995,8.56313639181327,17.1416561342851,-3.42430117964141
2,0,-48.75,-20.25,18.1287220359324,-11.1855795125028,9.12887474932597,16.8460580530932,-2.46184761922219
3,0,-48.5833333333333,-20.5833333333333,17.5777389857806,-10.7671591169754,8.79312116088909,16.2688537270456,-2.29662535061932
4,0,-38.25,-10.25,18.3370834562764,-10.7772802888498,4.43006823700144,16.8083067862169,-3.54824965658443
4,0,-46.25,-13.25,19.570680564112,-11.5779917856044,7.76141093372245,14.6938819553549,-3.16191262279279
5,0,-38.4166666666667,-9.91666666666666,17.7255498193351,-10.7000527544074,4.6508152740312,16.5231657042844,-3.40677025510043
4,0,-54.75,-23.75,16.7471728479268,-8.76483928294961,8.04449443303483,17.9900478762624,-4.44447002902012
3,0,-55.9166666666667,-20.0833333333333,19.1483323603685,-10.7623921646424,8.32868355215363,18.3385330892675,-3.14483725826559
2,0,-41.9166666666667,-21.25,18.1482184169438,-11.243063405288,7.87757177593284,16.9423233179628,-3.37839166581045
2,0,-40.4166666666667,-14.25,16.5664208477874,-10.1811621423464,4.68732244534817,14.4824848068841,-2.10070493370617
1,0,-50.4166666666667,-25.0833333333333,14.0173569458374,-7.38143241280214,7.71263945024505,16.2706542747739,-3.59706492477813
4,0,-48.9166666666667,-16.25,18.1397599951938,-10.5916692943016,7.29467207579453,14.0683793298279,-2.78223050181801
3,0,-48.25,-23.25,15.2823170857593,-9.37046788358378,8.14755667255577,15.501879993632,-2.62173898873953
3,0,-48.5833333333333,-18.4166666666667,18.2720179832006,-11.6646857006303,9.13985043830167,16.702911529619,-2.45502110334592
1,0,-53.4166666666667,-25.25,14.5660604467516,-6.98053884745941,8.83468596872625,17.5853002092186,-4.35414226499711
1,0,-41.4166666666667,-18.5833333333333,17.7046836595692,-10.750242772958,7.7426465794264,16.0922506267644,-2.88649140643311
4,0,-39.75,-17.5833333333333,19.550917364958,-9.42317971633623,4.95766568384391,17.4929832058275,-3.02858970299558
5,0,-44.5833333333333,-13.75,18.3617418447959,-12.606089088872,7.39722107354345,15.9060777379387,-2.91781517155359
3,0,-42.75,-14.25,18.1212678758146,-12.2107482711871,6.79072912693827,15.7293520146971,-2.10467739903226
3,0,-57.0833333333333,-21.4166666666667,18.0802181109822,-10.3211808437415,7.42893574932978,18.6527327392698,-3.9275825296641
3,0,-47.4166666666667,-22.9166666666667,15.42883983278,-9.48712097004153,8.3914083082296,15.4740832955258,-2.41866432501086
4,0,-41.9166666666667,-22.4166666666667,18.1156520219844,-9.62384682968561,5.68430135102521,16.5184330683951,-3.21047464796113
2,0,-45.75,-16.5833333333333,17.5689452336305,-12.0893715269114,8.66717246252229,15.8969412592427,-3.0756320276753
2,0,-45.5833333333333,-19.25,17.7104710953517,-11.1600723910616,9.71917301603808,16.0349158812602,-2.39432807082697
2,0,-49.4166666666667,-20.9166666666667,17.2958992680706,-10.753815031056,8.65759877354728,16.5623266553753,-2.29077456534942
1,0,-43.75,-15.25,18.9017858774954,-12.894812868482,7.17234928599981,16.4217185408292,-3.06046825547466
4,0,-40.5833333333333,-10.0833333333333,17.3741736120784,-12.3700919466322,5.28675376899341,16.2908252913147,-2.27479246810723
2,0,-43.75,-15.5833333333333,18.7208162224674,-12.7897558851499,7.21662780726881,16.3463347573912,-2.91543650733156
